Features,Normal (B),Epileptic (E)
Energy,97.99999999999999,97.99999999999999
STD,97.99999999999999,97.99999999999999
Entropy,97.99999999999999,97.99999999999999
Energy + STD,97.99999999999999,97.99999999999999
